age,income,credit_sum,loans_count,credit_history,delay_ratio,employment_years,target
22,94594,26737,1,0.226,0.121,38,1
58,66265,363156,2,0.441,0.004,9,1
52,137279,114839,6,0.238,0.056,13,1
40,170788,358506,0,0.806,0.171,7,0
40,76434,286644,0,0.532,0.17,13,0
62,195212,109320,2,0.519,0.078,31,0
22,165135,240072,4,0.535,0.226,18,1
54,54159,27961,6,0.591,0.075,35,1
28,235582,353882,4,0.647,0.132,35,1
22,25306,158861,3,0.265,0.13,12,1
45,168626,197905,6,0.697,0.007,31,1
68,118303,86996,1,0.687,0.092,19,0
56,168645,188841,7,0.49,0.267,16,1
57,196895,203936,2,0.482,0.035,11,0
55,176492,120227,2,0.035,0.144,2,1
58,167933,489879,7,0.313,0.019,18,1
44,212608,147107,5,0.578,0.035,26,1
24,179942,98724,3,0.68,0.001,34,1
61,206229,278621,2,0.609,0.166,16,0
41,109667,166248,3,0.489,0.039,5,1
44,62663,232441,6,0.789,0.189,18,1
37,70212,365306,1,0.651,0.063,11,0
27,158845,48329,1,0.441,0.109,36,0
66,139968,259499,2,0.827,0.129,27,0
58,33130,20623,3,0.336,0.0,36,1
51,63025,31524,6,0.279,0.114,12,1
38,242374,55336,1,0.437,0.124,17,0
60,185663,89228,6,0.386,0.18,3,1
46,192419,181224,7,0.445,0.033,5,1
41,61287,468272,3,0.62,0.043,14,1
41,30092,454040,7,0.495,0.146,15,1
29,83446,60550,7,0.499,0.199,27,1
22,216366,495675,6,0.509,0.059,8,1
46,134038,321195,3,0.153,0.014,39,1
64,199386,281310,2,0.273,0.078,31,1
21,129376,398239,6,0.442,0.029,35,1
62,130193,247376,3,0.374,0.128,12,1
61,156199,140065,0,0.465,0.024,22,0
32,240348,269533,5,0.711,0.168,20,1
50,117799,365288,2,0.489,0.115,31,1
26,155003,344517,7,0.302,0.17,33,1
57,231076,93248,6,0.381,0.0,22,1
54,102492,469689,0,0.757,0.0,38,0
36,212384,149527,7,0.73,0.19,19,1
21,140737,411786,7,0.589,0.05,10,1
68,221591,162792,6,0.266,0.0,6,1
41,124936,41070,2,0.546,0.086,15,1
64,162936,498253,5,0.558,0.117,11,1
53,90971,298504,6,0.504,0.089,8,1
58,164226,115140,6,0.414,0.133,18,1
57,91668,10158,3,0.446,0.123,10,1
28,158161,73311,5,0.404,0.12,39,1
36,200360,93244,3,0.328,0.194,12,1
42,117197,463588,2,0.705,0.099,24,1
43,115870,96732,5,0.632,0.097,30,1
20,90694,89346,3,0.457,0.156,37,1
46,186659,420524,1,0.553,0.139,27,0
26,154120,440847,5,0.558,0.037,10,1
56,136363,112401,2,0.851,0.094,22,0
53,20999,328723,4,0.631,0.131,2,1
65,40873,271878,2,0.625,0.059,10,1
56,16752,292662,7,0.506,0.062,39,1
37,214808,162549,6,0.435,0.003,0,1
68,215135,378155,3,0.707,0.0,13,0
39,30962,441680,5,0.598,0.074,2,1
34,25909,365739,1,0.376,0.109,21,1
65,198637,452547,7,0.568,0.023,30,1
37,138326,64157,1,0.626,0.196,2,0
21,87597,331956,6,0.186,0.027,5,1
42,159522,499738,6,0.362,0.164,34,1
59,70569,272481,1,0.554,0.129,11,1
27,61570,471525,0,0.211,0.252,0,1
42,101357,180704,5,0.235,0.138,3,1
24,225496,449330,6,0.459,0.0,36,1
53,195280,470012,5,0.574,0.174,36,1
42,59672,314921,0,0.581,0.219,6,0
35,147004,355248,5,0.737,0.0,11,1
29,222861,266167,3,0.512,0.145,7,1
